Record_ID,Date,Region,Office,User_ID,Role,Tenure_Months,Project_ID,Industry,Asset_ID,Asset_Type,Pillar,Action,AI_Recommended,Network_Stable,Time_to_Find_Min,Duplicate_Upload_Flag,Tags_Quality_Score,Content_Age_Months,Outdated_Content_Flag,GDPR_Flag,Contribution_Points,Onboarding_Time_Weeks,Post_DKN_Flag
178,19/03/2023,Europe,Copenhagen,U0076,Consultant,6,P004,Logistics,A0198,Client Deliverable,Personalisation,upload,0,1,,0,59,0,0,0,8,,
179,19/06/2024,Europe,London,U0091,Junior Consultant,43,P048,Logistics,A0196,Template,Centralisation,upload,0,0,,0,71,15,0,1,8,,
180,23/12/2023,Southeast Asia,Manila,U0036,Senior Consultant,9,P044,Smart Manufacturing,A0052,Client Deliverable,Collaboration,view,0,1,13,,,0,0,0,1,,
181,31/08/2024,North America,Toronto,U0069,Manager,28,P051,Smart Manufacturing,A0162,Template,Collaboration,view,0,1,15,,,28,1,0,1,,
182,09/01/2022,Asia,Jakarta,U0106,Senior Consultant,20,P050,Renewable Energy,A0141,Template,Personalisation,view,0,0,31,,,0,0,0,1,,
183,05/05/2024,Southeast Asia,Ho Chi Minh City,U0072,Senior Consultant,13,P056,Renewable Energy,A0160,Code Snippet,Centralisation,view,1,1,3,,,18,1,0,1,,
184,24/12/2023,North America,Toronto,U0075,Senior Consultant,18,P023,Renewable Energy,A0101,Framework,Personalisation,view,1,1,11,,,3,0,0,1,,
185,20/10/2024,Southeast Asia,Manila,U0098,Consultant,28,P029,Logistics,A0077,Code Snippet,Centralisation,view,0,0,19,,,2,0,0,1,,
186,21/04/2023,Europe,Madrid,U0023,Manager,5,P053,Renewable Energy,A0085,Best Practice,Collaboration,view,0,1,14,,,8,0,0,1,,
187,23/02/2023,Europe,Copenhagen,U0110,Junior Consultant,4,P058,Logistics,A0003,Training Material,Centralisation,upload,0,1,,0,30,10,0,1,8,,
188,14/06/2024,North America,Vancouver,U0133,Knowledge Champion,12,P053,Renewable Energy,A0133,Client Deliverable,Personalisation,view,1,1,8,,,27,1,0,1,,
189,21/12/2023,Europe,London,U0116,Consultant,20,P001,Smart Manufacturing,A0174,Code Snippet,Centralisation,upload,0,1,,0,55,18,1,0,8,,
190,12/11/2022,Europe,Copenhagen,U0049,Consultant,23,P027,Renewable Energy,A0125,Framework,Collaboration,view,0,1,22,,,0,0,0,1,,
191,21/12/2024,North America,Toronto,U0024,Junior Consultant,4,P011,Renewable Energy,A0093,Template,Collaboration,view,0,1,7,,,15,0,0,1,,
192,15/08/2022,Europe,Copenhagen,U0076,Consultant,6,P045,Logistics,A0088,Client Deliverable,Collaboration,validate,0,1,,,79,4,0,0,5,,
193,11/05/2024,Europe,Madrid,U0041,Junior Consultant,20,P034,Logistics,A0075,Training Material,Centralisation,validate,0,1,,,74,2,0,0,5,,
194,04/05/2022,North America,Vancouver,U0028,Consultant,19,P023,Renewable Energy,A0146,Best Practice,Personalisation,comment,0,1,,,,0,0,0,2,,
195,06/01/2022,Asia,Bangalore,U0079,Consultant,7,P046,Logistics,A0177,Training Material,Collaboration,view,1,1,15,,,0,0,0,1,,
196,01/02/2022,Europe,Copenhagen,U0008,Consultant,14,P013,Logistics,A0045,Best Practice,Personalisation,view,0,1,21,,,0,0,0,1,,
197,24/12/2024,Europe,Copenhagen,U0132,Consultant,15,P010,Smart Manufacturing,A0148,Framework,Personalisation,view,0,1,8,,,20,1,0,1,,
198,09/11/2024,North America,Vancouver,U0028,Consultant,19,P002,Renewable Energy,A0026,Best Practice,Collaboration,upload,0,1,,0,78,3,0,0,8,,
199,26/01/2022,North America,New York,U0083,Junior Consultant,17,P010,Smart Manufacturing,A0184,Code Snippet,Centralisation,view,0,1,22,,,0,0,0,1,,
200,10/05/2022,Asia,Jakarta,U0090,Junior Consultant,21,P013,Logistics,A0116,Code Snippet,Centralisation,view,0,1,19,,,0,0,0,1,,
201,31/03/2022,North America,Toronto,U0113,Senior Consultant,18,P004,Logistics,A0159,Training Material,Centralisation,view,0,1,22,,,0,0,0,1,,
202,22/12/2022,Asia,Bangalore,U0081,Manager,14,P001,Smart Manufacturing,A0209,Code Snippet,Personalisation,view,0,1,28,,,0,0,0,1,,
203,19/05/2022,Asia,Tokyo,U0063,Consultant,17,P044,Smart Manufacturing,A0100,Client Deliverable,Personalisation,view,0,1,27,,,0,0,0,1,,
204,19/09/2024,Europe,Copenhagen,U0006,Senior Consultant,24,P051,Smart Manufacturing,A0063,Best Practice,Centralisation,upload,1,1,,0,79,5,0,0,8,,
205,14/01/2024,Europe,Copenhagen,U0030,Knowledge Champion,22,P022,Logistics,A0137,Framework,Centralisation,tag_fix,0,1,,,78,0,0,0,4,,
206,14/05/2024,Asia,Jakarta,U0090,Junior Consultant,21,P036,Renewable Energy,A0063,Best Practice,Personalisation,view,1,1,6,,,1,0,0,1,,
207,26/07/2023,North America,Toronto,U0007,Consultant,22,P022,Logistics,A0207,Framework,Collaboration,upload,0,1,,0,41,5,0,0,8,,
208,26/06/2024,North America,Austin,U0120,Senior Consultant,22,P054,Logistics,A0204,Client Deliverable,Centralisation,validate,0,1,,,61,16,0,0,5,,
209,11/02/2024,Asia,Bangalore,U0054,Consultant,12,P020,Renewable Energy,A0122,Template,Centralisation,view,1,1,10,,,24,1,0,1,,
210,19/06/2023,North America,Toronto,U0113,Senior Consultant,18,P038,Renewable Energy,A0095,Training Material,Personalisation,view,1,1,13,,,0,0,0,1,,
211,09/09/2022,Europe,Copenhagen,U0132,Consultant,15,P006,Logistics,A0139,Training Material,Collaboration,tag_fix,0,1,,,65,7,0,0,4,,
212,28/02/2022,Europe,Copenhagen,U0038,Junior Consultant,7,P020,Renewable Energy,A0004,Training Material,Centralisation,view,0,1,23,,,0,0,0,1,,
213,20/10/2023,Europe,Copenhagen,U0049,Consultant,23,P043,Logistics,A0028,Framework,Collaboration,upload,0,1,,0,80,0,0,0,8,,
214,30/06/2022,Europe,London,U0058,Junior Consultant,18,P019,Logistics,A0033,Training Material,Centralisation,validate,0,1,,,34,0,0,0,5,,
215,09/08/2024,Europe,Madrid,U0034,Senior Consultant,4,P060,Smart Manufacturing,A0071,Client Deliverable,Centralisation,upload,0,1,,0,75,0,0,1,8,,
216,05/08/2024,Southeast Asia,Manila,U0064,Junior Consultant,13,P055,Renewable Energy,A0103,Framework,Personalisation,view,1,0,20,,,18,1,0,1,,
217,25/03/2023,Europe,London,U0011,Consultant,40,P026,Smart Manufacturing,A0011,Template,Personalisation,view,1,1,8,,,0,0,0,1,,
218,22/03/2022,North America,Austin,U0080,Senior Consultant,12,P041,Smart Manufacturing,A0164,Client Deliverable,Personalisation,comment,0,1,,,,1,0,0,2,,
219,02/12/2024,Asia,Tokyo,U0066,Senior Consultant,9,P060,Smart Manufacturing,A0112,Template,Personalisation,view,1,0,21,,,13,0,0,1,,
220,10/08/2023,Europe,London,U0011,Consultant,40,P057,Smart Manufacturing,A0219,Best Practice,Collaboration,view,0,0,22,,,15,0,0,1,,
221,18/03/2022,Asia,Jakarta,U0082,Consultant,10,P014,Smart Manufacturing,A0199,Client Deliverable,Collaboration,comment,0,1,,,,0,0,0,2,,
222,17/03/2024,North America,Toronto,U0057,Consultant,36,P018,Logistics,A0135,Framework,Collaboration,upload,0,1,,0,73,0,0,0,8,,
223,16/07/2024,Asia,Bangalore,U0131,Manager,25,P004,Logistics,A0174,Code Snippet,Personalisation,view,0,1,5,,,25,1,0,1,,
224,19/09/2022,Asia,Singapore,U0126,Consultant,15,P049,Logistics,A0049,Training Material,Collaboration,upload,0,1,,0,73,0,0,0,8,,
225,29/04/2023,North America,New York,U0140,Senior Consultant,33,P017,Renewable Energy,A0064,Framework,Centralisation,comment,1,1,,,,0,0,0,2,,
226,29/09/2023,Southeast Asia,Manila,U0036,Senior Consultant,9,P009,Smart Manufacturing,A0176,Client Deliverable,Collaboration,view,1,0,20,,,0,0,0,1,,
227,21/11/2024,North America,Vancouver,U0114,Consultant,6,P009,Smart Manufacturing,A0165,Code Snippet,Centralisation,view,1,1,1,,,25,1,0,1,,
228,09/05/2023,North America,New York,U0086,Junior Consultant,41,P041,Smart Manufacturing,A0209,Code Snippet,Personalisation,upload,0,0,,1,56,0,0,0,8,,
229,11/04/2024,Europe,Berlin,U0053,Consultant,13,P008,Renewable Energy,A0177,Training Material,Centralisation,view,1,1,11,,,14,0,0,1,,
230,30/07/2023,North America,Vancouver,U0078,Junior Consultant,22,P013,Logistics,A0029,Training Material,Personalisation,view,1,1,9,,,0,0,0,1,,
231,17/08/2024,Europe,Berlin,U0093,Knowledge Champion,31,P019,Logistics,A0044,Code Snippet,Centralisation,view,0,1,9,,,5,0,0,1,,
232,21/09/2024,South America,São Paulo,U0022,Consultant,15,P048,Logistics,A0184,Code Snippet,Collaboration,view,0,0,20,,,7,0,0,1,,
233,08/06/2024,Asia,Singapore,U0126,Consultant,15,P013,Logistics,A0201,Code Snippet,Centralisation,view,0,1,17,,,23,1,0,1,,
234,30/05/2023,Asia,Tokyo,U0063,Consultant,17,P006,Logistics,A0036,Framework,Centralisation,validate,0,1,,,58,10,0,0,5,,
235,25/10/2022,Europe,Copenhagen,U0076,Consultant,6,P024,Renewable Energy,A0048,Framework,Personalisation,comment,0,1,,,,0,0,0,2,,
236,29/07/2022,North America,Austin,U0080,Senior Consultant,12,P048,Logistics,A0158,Code Snippet,Centralisation,view,0,1,27,,,0,0,0,1,,
237,25/01/2024,Europe,Berlin,U0035,Consultant,13,P036,Renewable Energy,A0095,Training Material,Centralisation,tag_fix,0,1,,,99,7,0,0,4,,
238,05/04/2024,Europe,Berlin,U0013,Junior Consultant,16,P014,Smart Manufacturing,A0127,Code Snippet,Collaboration,view,0,0,20,,,9,0,0,1,,
239,14/06/2022,North America,Toronto,U0037,Junior Consultant,14,P045,Logistics,A0059,Best Practice,Personalisation,upload,0,0,,1,62,0,0,1,8,,
240,19/06/2024,Asia,Tokyo,U0123,Senior Consultant,17,P013,Logistics,A0056,Code Snippet,Centralisation,view,0,1,12,,,0,0,0,1,,
241,13/11/2024,Europe,London,U0109,Consultant,47,P010,Smart Manufacturing,A0073,Client Deliverable,Centralisation,upload,0,1,,1,69,34,1,1,8,,
242,28/12/2022,Southeast Asia,Manila,U0043,Senior Consultant,15,P025,Renewable Energy,A0076,Training Material,Collaboration,upload,0,1,,0,65,0,0,0,8,,
243,25/10/2023,North America,Vancouver,U0133,Knowledge Champion,12,P030,Renewable Energy,A0110,Training Material,Collaboration,comment,0,1,,,,0,0,0,2,,
244,16/06/2022,Asia,Singapore,U0016,Junior Consultant,13,P047,Renewable Energy,A0174,Code Snippet,Collaboration,view,0,1,21,,,0,0,0,1,,
245,25/01/2024,Asia,Jakarta,U0124,Junior Consultant,19,P043,Logistics,A0166,Template,Collaboration,upload,0,1,,0,65,0,0,0,8,,
246,05/07/2024,South America,São Paulo,U0022,Consultant,15,P010,Smart Manufacturing,A0170,Template,Personalisation,view,1,1,9,,,3,0,0,1,,
247,08/05/2023,North America,Toronto,U0113,Senior Consultant,18,P026,Smart Manufacturing,A0067,Code Snippet,Centralisation,upload,0,1,,1,75,14,0,0,8,,
248,04/06/2023,Europe,Berlin,U0025,Knowledge Champion,20,P013,Logistics,A0136,Best Practice,Collaboration,view,0,1,20,,,0,0,0,1,,
249,20/08/2022,Europe,Copenhagen,U0132,Consultant,15,P059,Logistics,A0151,Client Deliverable,Collaboration,view,0,1,26,,,0,0,0,1,,
250,03/10/2022,Europe,Madrid,U0129,Consultant,17,P036,Renewable Energy,A0130,Code Snippet,Collaboration,view,0,1,25,,,0,0,0,1,,
251,21/11/2024,North America,Austin,U0027,Consultant,18,P030,Renewable Energy,A0213,Training Material,Personalisation,view,1,0,11,,,18,1,0,1,,
252,31/08/2024,North America,Toronto,U0024,Junior Consultant,4,P009,Smart Manufacturing,A0096,Training Material,Centralisation,validate,0,1,,,77,0,0,0,5,,
253,13/03/2023,North America,Austin,U0118,Junior Consultant,8,P020,Renewable Energy,A0031,Training Material,Personalisation,view,0,1,13,,,1,0,0,1,,
254,17/02/2023,Europe,Copenhagen,U0030,Knowledge Champion,22,P059,Logistics,A0187,Framework,Centralisation,tag_fix,0,1,,,33,2,0,0,4,,
255,01/12/2023,Asia,Singapore,U0003,Consultant,10,P053,Renewable Energy,A0066,Training Material,Centralisation,upload,0,1,,0,67,2,0,1,8,,
256,25/12/2023,Europe,Berlin,U0026,Manager,12,P023,Renewable Energy,A0141,Template,Personalisation,view,0,1,15,,,0,0,0,1,,
257,12/05/2023,Asia,Tokyo,U0066,Senior Consultant,9,P023,Renewable Energy,A0050,Best Practice,Centralisation,view,0,0,20,,,0,0,0,1,,
258,12/02/2022,North America,Toronto,U0125,Consultant,41,P008,Renewable Energy,A0019,Training Material,Centralisation,validate,0,1,,,36,0,0,0,5,,
259,17/08/2023,Southeast Asia,Manila,U0098,Consultant,28,P054,Logistics,A0037,Framework,Centralisation,view,0,1,17,,,0,0,0,1,,
260,05/07/2023,North America,Vancouver,U0114,Consultant,6,P001,Smart Manufacturing,A0007,Template,Centralisation,view,0,1,20,,,0,0,0,1,,
261,14/03/2022,Europe,Copenhagen,U0020,Consultant,36,P012,Smart Manufacturing,A0159,Training Material,Collaboration,validate,0,1,,,49,0,0,0,5,,
262,01/09/2024,Europe,Madrid,U0041,Junior Consultant,20,P045,Logistics,A0217,Code Snippet,Centralisation,view,0,0,13,,,30,1,0,1,,
263,10/01/2024,Asia,Tokyo,U0085,Senior Consultant,30,P034,Logistics,A0056,Code Snippet,Centralisation,view,1,1,8,,,0,0,0,1,,
264,10/01/2024,North America,Austin,U0120,Senior Consultant,22,P022,Logistics,A0148,Framework,Collaboration,view,1,1,8,,,8,0,0,1,,
265,17/09/2024,North America,New York,U0086,Junior Consultant,41,P015,Renewable Energy,A0006,Code Snippet,Collaboration,view,0,1,14,,,0,0,0,1,,
266,22/10/2022,Asia,Tokyo,U0070,Senior Consultant,20,P025,Renewable Energy,A0070,Template,Collaboration,upload,0,1,,0,47,0,0,0,8,,
267,12/10/2022,Asia,Bangalore,U0009,Consultant,23,P059,Logistics,A0144,Best Practice,Centralisation,comment,0,1,,,,0,0,0,2,,
268,22/07/2022,Europe,Berlin,U0093,Knowledge Champion,31,P051,Smart Manufacturing,A0073,Client Deliverable,Centralisation,validate,0,1,,,52,6,0,0,5,,
269,17/10/2022,Europe,Berlin,U0019,Junior Consultant,7,P020,Renewable Energy,A0196,Template,Centralisation,view,0,1,21,,,0,0,0,1,,
270,11/04/2024,North America,New York,U0086,Junior Consultant,41,P004,Logistics,A0181,Template,Centralisation,view,0,0,13,,,25,1,0,1,,
271,23/01/2024,Asia,Tokyo,U0063,Consultant,17,P052,Logistics,A0061,Framework,Centralisation,comment,0,1,,,,8,0,0,2,,
272,17/07/2024,Asia,Jakarta,U0104,Senior Consultant,14,P029,Logistics,A0102,Code Snippet,Centralisation,view,1,1,9,,,0,0,0,1,,
273,10/09/2023,Asia,Bangalore,U0079,Consultant,7,P017,Renewable Energy,A0187,Framework,Collaboration,view,1,0,21,,,9,0,0,1,,
274,25/01/2023,South America,São Paulo,U0021,Consultant,27,P038,Renewable Energy,A0046,Framework,Centralisation,view,0,1,18,,,0,0,0,1,,
275,27/05/2024,Europe,Copenhagen,U0018,Consultant,23,P054,Logistics,A0125,Framework,Centralisation,view,0,1,10,,,0,0,0,1,,
276,04/12/2022,North America,Toronto,U0069,Manager,28,P016,Logistics,A0181,Template,Centralisation,upload,0,1,,0,51,9,0,0,8,,
277,24/10/2024,Europe,Berlin,U0026,Manager,12,P013,Logistics,A0062,Training Material,Collaboration,validate,0,1,,,90,8,0,0,5,,
278,30/11/2023,Europe,Berlin,U0035,Consultant,13,P001,Smart Manufacturing,A0049,Training Material,Personalisation,view,1,1,9,,,4,0,0,1,,
279,26/02/2022,Europe,Berlin,U0055,Consultant,21,P021,Renewable Energy,A0084,Framework,Centralisation,tag_fix,0,1,,,57,0,0,0,4,,
280,23/11/2023,Asia,Tokyo,U0045,Manager,21,P004,Logistics,A0107,Framework,Centralisation,validate,0,1,,,48,22,1,0,5,,
281,29/03/2024,Asia,Tokyo,U0066,Senior Consultant,9,P030,Renewable Energy,A0004,Training Material,Centralisation,upload,0,1,,0,76,18,1,0,8,,
282,06/11/2023,Europe,Madrid,U0041,Junior Consultant,20,P006,Logistics,A0005,Best Practice,Centralisation,upload,1,1,,0,67,10,0,0,8,,
283,11/11/2022,Asia,Tokyo,U0085,Senior Consultant,30,P015,Renewable Energy,A0190,Template,Collaboration,view,1,1,18,,,5,0,0,1,,
284,26/09/2023,North America,New York,U0117,Senior Consultant,26,P036,Renewable Energy,A0072,Training Material,Personalisation,view,1,1,8,,,0,0,0,1,,
285,01/09/2024,Europe,Berlin,U0026,Manager,12,P042,Logistics,A0208,Training Material,Centralisation,validate,0,0,,,62,10,0,0,5,,
286,27/02/2022,Europe,Berlin,U0035,Consultant,13,P008,Renewable Energy,A0016,Framework,Centralisation,view,0,1,18,,,0,0,0,1,,
287,19/01/2024,South America,Buenos Aires,U0039,Manager,18,P058,Logistics,A0046,Framework,Collaboration,tag_fix,0,1,,,63,0,0,0,4,,
288,20/12/2023,Asia,Tokyo,U0063,Consultant,17,P029,Logistics,A0128,Framework,Collaboration,view,0,1,6,,,8,0,0,1,,
289,11/03/2023,North America,New York,U0083,Junior Consultant,17,P051,Smart Manufacturing,A0007,Template,Collaboration,upload,0,1,,0,42,0,0,0,8,,
290,03/05/2022,North America,Vancouver,U0059,Senior Consultant,41,P037,Logistics,A0097,Template,Collaboration,view,0,0,36,,,0,0,0,1,,
291,04/04/2023,Europe,Copenhagen,U0008,Consultant,14,P017,Renewable Energy,A0006,Code Snippet,Personalisation,view,1,1,7,,,0,0,0,1,,
292,21/05/2024,Southeast Asia,Ho Chi Minh City,U0072,Senior Consultant,13,P020,Renewable Energy,A0128,Framework,Personalisation,view,0,0,13,,,13,0,0,1,,
293,02/07/2023,Europe,Berlin,U0035,Consultant,13,P053,Renewable Energy,A0077,Code Snippet,Centralisation,view,0,1,17,,,0,0,0,1,,
294,27/11/2022,Asia,Jakarta,U0082,Consultant,10,P044,Smart Manufacturing,A0157,Framework,Personalisation,view,0,1,19,,,0,0,0,1,,
295,06/03/2023,Europe,Berlin,U0093,Knowledge Champion,31,P003,Renewable Energy,A0200,Template,Personalisation,validate,0,1,,,66,0,0,0,5,,
296,14/10/2022,Europe,London,U0077,Manager,10,P044,Smart Manufacturing,A0007,Template,Centralisation,validate,0,1,,,52,0,0,0,5,,
297,01/10/2022,North America,Vancouver,U0078,Junior Consultant,22,P010,Smart Manufacturing,A0129,Best Practice,Centralisation,validate,0,1,,,46,0,0,0,5,,
298,24/03/2024,North America,Toronto,U0024,Junior Consultant,4,P027,Renewable Energy,A0087,Training Material,Collaboration,view,1,1,10,,,21,1,0,1,,
299,09/03/2022,North America,Toronto,U0061,Consultant,30,P013,Logistics,A0203,Template,Centralisation,view,0,1,27,,,0,0,0,1,,
300,31/05/2024,North America,Austin,U0027,Consultant,18,P047,Renewable Energy,A0006,Code Snippet,Collaboration,upload,1,1,,0,68,0,0,0,8,,
301,12/12/2024,Europe,Copenhagen,U0110,Junior Consultant,4,P001,Smart Manufacturing,A0046,Framework,Personalisation,view,0,1,11,,,0,0,0,1,,
302,19/08/2022,Europe,London,U0136,Consultant,12,P023,Renewable Energy,A0215,Framework,Collaboration,view,0,1,24,,,4,0,0,1,,
303,04/04/2023,Europe,Berlin,U0019,Junior Consultant,7,P018,Logistics,A0181,Template,Centralisation,upload,1,1,,0,35,13,0,0,8,,
304,13/01/2024,North America,Toronto,U0069,Manager,28,P001,Smart Manufacturing,A0084,Framework,Collaboration,view,0,1,18,,,0,0,0,1,,
305,20/04/2024,North America,Toronto,U0069,Manager,28,P026,Smart Manufacturing,A0109,Client Deliverable,Personalisation,view,1,0,18,,,7,0,0,1,,
306,29/02/2024,North America,Toronto,U0105,Senior Consultant,31,P052,Logistics,A0037,Framework,Personalisation,tag_fix,0,1,,,83,4,0,0,4,,
307,06/06/2023,North America,Vancouver,U0097,Consultant,28,P016,Logistics,A0212,Client Deliverable,Centralisation,view,0,1,16,,,0,0,0,1,,
308,12/04/2022,Asia,Jakarta,U0104,Senior Consultant,14,P045,Logistics,A0143,Client Deliverable,Personalisation,view,0,1,25,,,0,0,0,1,,
309,02/01/2022,North America,Austin,U0122,Manager,11,P048,Logistics,A0166,Template,Personalisation,tag_fix,0,1,,,51,0,0,0,4,,
310,18/02/2024,North America,Toronto,U0061,Consultant,30,P053,Renewable Energy,A0162,Template,Collaboration,validate,0,1,,,92,22,1,0,5,,
311,30/06/2023,North America,New York,U0083,Junior Consultant,17,P005,Logistics,A0161,Code Snippet,Collaboration,validate,0,1,,,59,0,0,0,5,,
312,22/06/2023,North America,Austin,U0122,Manager,11,P055,Renewable Energy,A0185,Code Snippet,Personalisation,view,0,1,15,,,0,0,0,1,,
313,15/05/2022,Europe,London,U0136,Consultant,12,P024,Renewable Energy,A0135,Framework,Centralisation,view,0,1,26,,,0,0,0,1,,
314,09/11/2022,North America,Austin,U0118,Junior Consultant,8,P012,Smart Manufacturing,A0164,Client Deliverable,Collaboration,comment,0,1,,,,8,0,0,2,,
315,22/10/2023,Southeast Asia,Manila,U0098,Consultant,28,P024,Renewable Energy,A0214,Framework,Personalisation,tag_fix,0,0,,,97,0,0,0,4,,
316,08/02/2024,North America,Austin,U0027,Consultant,18,P024,Renewable Energy,A0092,Template,Personalisation,view,0,1,10,,,23,1,0,1,,
317,18/07/2023,Southeast Asia,Manila,U0102,Consultant,18,P019,Logistics,A0115,Template,Personalisation,view,0,1,20,,,0,0,0,1,,
318,25/11/2024,South America,Buenos Aires,U0039,Manager,18,P001,Smart Manufacturing,A0175,Framework,Personalisation,upload,0,1,,0,71,24,1,0,8,,
319,02/06/2023,Europe,Madrid,U0005,Junior Consultant,29,P036,Renewable Energy,A0052,Client Deliverable,Centralisation,upload,0,1,,0,52,0,0,0,8,,
320,08/06/2023,Europe,Madrid,U0062,Senior Consultant,23,P017,Renewable Energy,A0214,Framework,Personalisation,view,1,1,11,,,0,0,0,1,,
321,20/09/2022,Europe,London,U0109,Consultant,47,P051,Smart Manufacturing,A0075,Training Material,Centralisation,view,0,1,23,,,0,0,0,1,,
322,22/01/2024,Europe,London,U0011,Consultant,40,P046,Logistics,A0193,Framework,Personalisation,view,0,1,9,,,1,0,0,1,,
323,23/12/2023,Europe,Madrid,U0062,Senior Consultant,23,P025,Renewable Energy,A0218,Code Snippet,Collaboration,view,0,1,16,,,0,0,0,1,,
324,02/02/2024,Asia,Bangalore,U0017,Consultant,5,P043,Logistics,A0053,Code Snippet,Centralisation,view,1,1,8,,,6,0,0,1,,
325,12/12/2024,South America,Buenos Aires,U0107,Senior Consultant,10,P032,Renewable Energy,A0165,Code Snippet,Centralisation,validate,0,1,,,77,26,1,0,5,,
326,04/08/2024,Asia,Singapore,U0112,Consultant,28,P027,Renewable Energy,A0122,Template,Centralisation,upload,1,1,,0,83,30,1,1,8,,
327,21/04/2023,North America,Toronto,U0052,Senior Consultant,16,P026,Smart Manufacturing,A0139,Training Material,Collaboration,upload,0,1,,0,47,15,0,0,8,,
328,29/03/2023,Europe,Copenhagen,U0020,Consultant,36,P037,Logistics,A0210,Best Practice,Personalisation,upload,1,1,,0,48,0,0,0,8,,
329,14/02/2023,North America,New York,U0086,Junior Consultant,41,P031,Logistics,A0015,Client Deliverable,Collaboration,view,1,1,8,,,0,0,0,1,,
330,13/04/2024,Europe,Berlin,U0013,Junior Consultant,16,P056,Renewable Energy,A0161,Code Snippet,Centralisation,upload,1,1,,0,71,0,0,1,8,,
331,22/06/2023,Europe,Madrid,U0023,Manager,5,P021,Renewable Energy,A0099,Best Practice,Collaboration,view,0,1,16,,,11,0,0,1,,
332,10/05/2024,Europe,Copenhagen,U0014,Manager,6,P020,Renewable Energy,A0078,Code Snippet,Centralisation,view,0,1,20,,,0,0,0,1,,
333,17/09/2023,North America,Toronto,U0052,Senior Consultant,16,P009,Smart Manufacturing,A0014,Training Material,Collaboration,view,0,0,25,,,4,0,0,1,,
334,17/10/2022,Asia,Singapore,U0094,Senior Consultant,8,P060,Smart Manufacturing,A0206,Code Snippet,Personalisation,view,0,1,21,,,0,0,0,1,,
335,06/10/2023,Asia,Singapore,U0003,Consultant,10,P035,Renewable Energy,A0018,Best Practice,Personalisation,view,1,1,7,,,13,0,0,1,,
336,18/06/2024,North America,Toronto,U0075,Senior Consultant,18,P013,Logistics,A0182,Template,Collaboration,view,1,1,16,,,8,0,0,1,,
337,30/06/2024,Europe,Berlin,U0053,Consultant,13,P057,Smart Manufacturing,A0053,Code Snippet,Personalisation,upload,1,1,,0,87,11,0,1,8,,
338,15/10/2024,North America,New York,U0047,Manager,14,P001,Smart Manufacturing,A0185,Code Snippet,Collaboration,view,0,1,10,,,11,0,0,1,,
339,27/08/2023,Europe,Berlin,U0055,Consultant,21,P035,Renewable Energy,A0215,Framework,Collaboration,upload,0,1,,0,51,17,0,1,8,,
340,07/07/2022,Europe,Berlin,U0013,Junior Consultant,16,P027,Renewable Energy,A0058,Training Material,Centralisation,view,0,1,21,,,0,0,0,1,,
341,14/11/2022,Europe,Copenhagen,U0015,Consultant,30,P060,Smart Manufacturing,A0179,Training Material,Centralisation,upload,0,1,,0,64,0,0,0,8,,
342,15/10/2023,Asia,Tokyo,U0040,Senior Consultant,36,P020,Renewable Energy,A0067,Code Snippet,Collaboration,view,0,1,21,,,20,1,0,1,,
343,18/04/2023,Southeast Asia,Manila,U0101,Senior Consultant,21,P003,Renewable Energy,A0084,Framework,Personalisation,view,0,0,12,,,0,0,0,1,,
344,11/07/2022,North America,Austin,U0051,Knowledge Champion,11,P030,Renewable Energy,A0039,Client Deliverable,Personalisation,view,1,1,26,,,0,0,0,1,,
345,22/12/2023,North America,Vancouver,U0032,Senior Consultant,32,P043,Logistics,A0054,Template,Collaboration,comment,1,1,,,,0,0,0,2,,
346,14/12/2023,Europe,Madrid,U0005,Junior Consultant,29,P049,Logistics,A0201,Code Snippet,Collaboration,view,0,1,18,,,17,0,0,1,,
347,13/09/2023,Europe,Madrid,U0139,Senior Consultant,17,P049,Logistics,A0023,Best Practice,Personalisation,view,0,1,18,,,0,0,0,1,,
348,11/04/2023,Europe,London,U0077,Manager,10,P003,Renewable Energy,A0149,Training Material,Collaboration,view,0,1,19,,,0,0,0,1,,
349,07/09/2023,Europe,Berlin,U0013,Junior Consultant,16,P012,Smart Manufacturing,A0086,Training Material,Personalisation,view,0,1,16,,,0,0,0,1,,
350,13/08/2022,Europe,London,U0077,Manager,10,P052,Logistics,A0018,Best Practice,Personalisation,view,1,1,20,,,0,0,0,1,,
351,27/11/2022,Southeast Asia,Manila,U0101,Senior Consultant,21,P030,Renewable Energy,A0010,Client Deliverable,Personalisation,upload,0,1,,0,69,0,0,0,8,,
352,24/12/2023,Europe,Copenhagen,U0020,Consultant,36,P024,Renewable Energy,A0187,Framework,Centralisation,view,0,1,13,,,12,0,0,1,,
353,11/11/2023,Europe,Madrid,U0002,Consultant,12,P054,Logistics,A0166,Template,Personalisation,tag_fix,0,1,,,51,0,0,0,4,,
354,28/08/2022,Asia,Tokyo,U0040,Senior Consultant,36,P032,Renewable Energy,A0070,Template,Centralisation,view,0,1,24,,,0,0,0,1,,
355,28/03/2022,Asia,Bangalore,U0130,Junior Consultant,16,P017,Renewable Energy,A0094,Training Material,Centralisation,comment,0,1,,,,0,0,0,2,,
356,07/05/2023,Europe,London,U0137,Consultant,20,P033,Logistics,A0062,Training Material,Centralisation,tag_fix,0,0,,,62,0,0,0,4,,
